,Algorithm,Map,Path_length,Iteration,Setup,Obstacle_type,Algorithm_Type,Q_obstacle
612,RRT_Path_Smoothing,C4A,184.9073643,1475.0,4.0,Concave,Probabilistic,2431
614,RRT_Path_Smoothing,C4A,256.6701277,1565.0,5.0,Concave,Probabilistic,2431
616,RRT_Path_Smoothing,C4A,182.4242656,2353.0,5.0,Concave,Probabilistic,2431
618,RRT_Path_Smoothing,C4A,183.7542429,2030.0,5.0,Concave,Probabilistic,2431
620,RRT_Path_Smoothing,C4A,180.5367892,2224.0,5.0,Concave,Probabilistic,2431
622,RRT_Path_Smoothing,C4A,186.4525326,1059.0,5.0,Concave,Probabilistic,2431
624,RRT_Path_Smoothing,C4A,188.247083,1839.0,5.0,Concave,Probabilistic,2431
626,RRT_Path_Smoothing,C4A,188.5176456,2173.0,5.0,Concave,Probabilistic,2431
628,RRT_Path_Smoothing,C4A,210.1004329,755.0,5.0,Concave,Probabilistic,2431
630,RRT_Path_Smoothing,C4A,186.9366516,711.0,5.0,Concave,Probabilistic,2431
632,RRT_Path_Smoothing,C4A,181.6739314,1543.0,5.0,Concave,Probabilistic,2431
634,RRT_Sobol_Sampler,C4A,222.5746423,17752.0,1.0,Concave,Probabilistic,2431
636,RRT_Sobol_Sampler,C4A,222.3608152,18938.0,1.0,Concave,Probabilistic,2431
638,RRT_Sobol_Sampler,C4A,222.6465982,20028.0,1.0,Concave,Probabilistic,2431
640,RRT_Sobol_Sampler,C4A,221.2376611,18752.0,1.0,Concave,Probabilistic,2431
642,RRT_Sobol_Sampler,C4A,227.799087,19103.0,1.0,Concave,Probabilistic,2431
644,RRT_Sobol_Sampler,C4A,225.6649737,17377.0,1.0,Concave,Probabilistic,2431
646,RRT_Sobol_Sampler,C4A,223.6796595,21432.0,1.0,Concave,Probabilistic,2431
648,RRT_Sobol_Sampler,C4A,218.6555554,16539.0,1.0,Concave,Probabilistic,2431
650,RRT_Sobol_Sampler,C4A,220.6764765,17930.0,1.0,Concave,Probabilistic,2431
652,RRT_Sobol_Sampler,C4A,223.5859634,20827.0,1.0,Concave,Probabilistic,2431
654,RRT_Sobol_Sampler,C4A,215.9964847,2581.0,2.0,Concave,Probabilistic,2431
656,RRT_Sobol_Sampler,C4A,223.7230741,2682.0,2.0,Concave,Probabilistic,2431
658,RRT_Sobol_Sampler,C4A,227.8738313,2695.0,2.0,Concave,Probabilistic,2431
660,RRT_Sobol_Sampler,C4A,222.3983951,2682.0,2.0,Concave,Probabilistic,2431
662,RRT_Sobol_Sampler,C4A,223.7230741,2655.0,2.0,Concave,Probabilistic,2431
664,RRT_Sobol_Sampler,C4A,226.7328458,2703.0,2.0,Concave,Probabilistic,2431
666,RRT_Sobol_Sampler,C4A,223.7230741,2644.0,2.0,Concave,Probabilistic,2431
668,RRT_Sobol_Sampler,C4A,226.7328458,2743.0,2.0,Concave,Probabilistic,2431
670,RRT_Sobol_Sampler,C4A,245.8102009,2675.0,2.0,Concave,Probabilistic,2431
672,RRT_Sobol_Sampler,C4A,223.7230741,2678.0,2.0,Concave,Probabilistic,2431
674,RRT_Sobol_Sampler,C4A,203.0751393,1346.0,3.0,Concave,Probabilistic,2431
676,RRT_Sobol_Sampler,C4A,203.0751393,1504.0,3.0,Concave,Probabilistic,2431
678,RRT_Sobol_Sampler,C4A,203.0751393,1370.0,3.0,Concave,Probabilistic,2431
680,RRT_Sobol_Sampler,C4A,211.5229811,1278.0,3.0,Concave,Probabilistic,2431
682,RRT_Sobol_Sampler,C4A,203.1037697,1473.0,3.0,Concave,Probabilistic,2431
684,RRT_Sobol_Sampler,C4A,203.0751393,1333.0,3.0,Concave,Probabilistic,2431
686,RRT_Sobol_Sampler,C4A,203.0751393,1306.0,3.0,Concave,Probabilistic,2431
688,RRT_Sobol_Sampler,C4A,203.0751393,1340.0,3.0,Concave,Probabilistic,2431
690,RRT_Sobol_Sampler,C4A,207.8430055,1507.0,3.0,Concave,Probabilistic,2431
692,RRT_Sobol_Sampler,C4A,203.0751393,1443.0,3.0,Concave,Probabilistic,2431
694,RRT_Sobol_Sampler,C4A,222.1760339,1280.0,4.0,Concave,Probabilistic,2431
696,RRT_Sobol_Sampler,C4A,222.1760339,1352.0,4.0,Concave,Probabilistic,2431
698,RRT_Sobol_Sampler,C4A,222.1760339,1287.0,4.0,Concave,Probabilistic,2431
700,RRT_Sobol_Sampler,C4A,222.1760339,1271.0,4.0,Concave,Probabilistic,2431
702,RRT_Sobol_Sampler,C4A,222.1760339,1264.0,4.0,Concave,Probabilistic,2431
704,RRT_Sobol_Sampler,C4A,222.1760339,1273.0,4.0,Concave,Probabilistic,2431
